country,amount
AFG,1
ALB,2
ARE,3
ARG,2
ARM,12
AUS,2
AUT,1
BEN,1
BFA,1
BGD,9
BGR,2
BIH,2
BLZ,1
BRA,11
CAN,5
CHE,1
CHN,11
CMR,50
COD,1
COL,3
CUB,9
CZE,8
DEU,32
EGY,1
ESP,38
ETH,33
FIN,4
FRA,8
GHA,22
GIN,2
GMB,2
GRC,19
HKG,2
IDN,11
IND,25
IRL,1
IRN,13
IRQ,3
ITA,19
JOR,17
JPN,1
KEN,13
KOR,1
LBY,1
LTU,3
LUX,1
MAR,5
MEX,4
MOZ,4
MWI,2
NLD,61
NGA,17
NPL,3
PAK,51
PHL,5
POL,10
PRT,3
ROU,9
RUS,8
RWA,8
SUR,3
SVK,3
SVN,1
SYR,2
TTO,1
TUN,3
TUR,12
TWN,1
TZA,17
UGA,6
UKR,6
USA,4
VEN,1
Vluchteling,1
VNM,32
ZAF,11
ZWE,13
