country,amount
AFG,3
ALB,8
ARE,8
ARG,4
ARM,22
AUS,2
AUT,4
AZE,1
BEN,3
BFA,1
BGD,33
BGR,33
BIH,10
BLR,4
BLZ,4
BRA,107
CAN,24
CHE,3
CHN,70
CIV,4
CMR,204
COD,4
COL,14
CPV,2
CUB,27
CZE,54
DNK,1
DEU,176
DZA,2
EGY,8
ESP,141
EST,2
ETH,164
FIN,11
FRA,44
GBR,11
GHA,96
GIN,2
GMB,11
GRC,71
HKG,6
HRV,1
HUN,1
IDN,28
IND,84
IRL,6
IRN,65
IRQ,9
ISR,1
ITA,75
JOR,104
JPN,2
KEN,61
KOR,7
LBN,3
LBY,3
LKA,1
LTU,14
LUX,2
LVA,2
MAR,8
MEX,18
MKD,2
MOZ,24
MWI,6
MYS,3
NLD,230
NGA,69
NOR,2
NPL,5
PAK,215
PER,4
PHL,16
POL,61
PRT,13
PSE,7
ROU,50
RUS,29
RWA,35
SGP,2
SRB,5
SUR,20
SVK,13
SVN,9
SYR,6
THA,2
TTO,4
TUN,5
TUR,42
TWN,5
TZA,52
UGA,52
UKR,21
USA,15
UZB,6
VEN,3
Vluchteling,6
VNM,108
ZAF,44
ZMB,1
ZWE,34
