inschrijving,eerste_inschrijving,stamnr,land,type,opleiding
2013-2014,13,5618,ALB,Doctoraat,doctoraat biomedische wetenschappen
2013-2014,10,902,USA,Doctoraat,doctoraat chemie
2013-2014,13,6595,USA,Doctoraat,doctoraat biologie
2013-2014,13,4723,BIH,Doctoraat,doctoraat rechten
2013-2014,13,5563,BGD,Master,Master of Statistics: Biostatistics
2013-2014,11,1340,BRA,Doctoraat,doctoraat mobiliteitswetenschappen
2013-2014,13,4790,BRA,Exchange,Science without Borders
2013-2014,13,4791,BRA,Exchange,Science without Borders
2013-2014,13,4792,BRA,Exchange,Science without Borders
2013-2014,13,4963,BRA,Exchange,Science without Borders
2013-2014,13,5071,BRA,Exchange,Science without Borders
2013-2014,13,5168,BRA,Exchange,Science without Borders
2013-2014,13,5187,BRA,Exchange,Internship
2013-2014,13,5190,BRA,Exchange,Internship
2013-2014,13,5191,BRA,Exchange,Internship
2013-2014,13,5192,BRA,Exchange,Internship
2013-2014,13,5194,BRA,Exchange,Internship
2013-2014,13,5195,BRA,Exchange,Internship
2013-2014,13,5196,BRA,Exchange,Internship
2013-2014,13,5279,BRA,Exchange,Science without Borders
2013-2014,13,5684,BRA,Exchange,Science without Borders
2013-2014,13,5787,BRA,Exchange,Erasmus study programme
2013-2014,13,5801,BRA,Exchange,Science without Borders
2013-2014,12,5822,BRA,Exchange,Science without Borders
2013-2014,12,5822,BRA,Doctoraat,doctoraat statistiek
2013-2014,12,5826,BRA,Doctoraat,doctoraat biomedische wetenschappen
2013-2014,13,6363,BRA,Exchange,Internship
2013-2014,13,6364,BRA,Exchange,Internship
2013-2014,13,6367,BRA,Doctoraat,doctoraat biologie
2013-2014,13,6632,BRA,Exchange,Internship
2013-2014,10,866,GBR,Doctoraat,doctoraat audiovisuele en beeldende kunst
2013-2014,11,2386,BGR,Doctoraat,doctoraat wetenschappen
2013-2014,12,2794,BGR,Doctoraat,doctoraat biologie
2013-2014,13,5764,BGR,Exchange,Erasmus study programme
2013-2014,13,5766,BGR,Exchange,Erasmus study programme
2013-2014,13,5925,BGR,Master,master of Management:  Management Information Systems
2013-2014,13,6568,BGR,Doctoraat,doctoraat biologie
2013-2014,11,2316,CAN,Doctoraat,doctoraat fysica
2013-2014,13,6291,CAN,Exchange,Internship
2013-2014,10,537,CHN,Doctoraat,doctoraat mobiliteitswetenschappen
2013-2014,10,747,CHN,Doctoraat,doctoraat informatica
2013-2014,11,1410,CHN,Doctoraat,doctoraat wiskunde
2013-2014,11,1484,CHN,Doctoraat,doctoraat toegepaste economische wetenschappen
2013-2014,11,2313,CHN,Doctoraat,doctoraat toegepaste economische wetenschappen
2013-2014,12,3347,CHN,Master,Master of Management: International Marketing Strategy
2013-2014,12,3900,CHN,Doctoraat,doctoraat wiskunde
2013-2014,13,4821,CHN,Master,Master of Transportation Sciences: Mobility Management
2013-2014,13,4821,CHN,Master,Preparation programme Master of Transportation Sciences
2013-2014,12,5824,CHN,Doctoraat,doctoraat biomedische wetenschappen
2013-2014,13,5879,CHN,Master,Master of Management: International Marketing Strategy
2013-2014,13,5896,CHN,Master,master of Management:  Management Information Systems
2013-2014,13,5916,CHN,Master,Master of Management: International Marketing Strategy
2013-2014,13,6650,CHN,Doctoraat,doctoraat biomedische wetenschappen
